Route,Year,Month,MonthStart,Flights,PrimaryEquipment,DistinctAircraft,FuelBurnKg,AvgFuelBurnKg,AvgDistanceNM,AvgTripTimeSec,AvgTOW_kg,MaxTOW_kg,TotalTOW_kg,AvgFuelPerNM,AvgFuelPerHour
CNF -> GVR,2025,9,2025-09-01,72,ATR,1,28380,394.1666666666667,126.65277777777777,2163.3333333333335,20626.152777777777,22006,1485083,3.1126955324722294,657.5438012152767
CNF -> GVR,2025,10,2025-10-01,66,ATR,1,26373,399.59090909090907,128.15151515151516,2180.0,20500.530303030304,22055,1353035,3.1188306570599744,661.7326611697699
CNF -> GVR,2025,11,2025-11-01,21,ATR,1,8138,387.5238095238095,128.38095238095238,2177.1428571428573,20304.190476190477,22021,426388,3.021373063501114,642.1871624495798
CNF -> GYN,2024,1,2024-01-01,38,E2,3,79239,2085.2368421052633,381.9421052631579,3906.315789473684,51100.18421052631,64393,1941807,5.465431997263237,1920.984649150079
CNF -> GYN,2024,2,2024-02-01,30,E2,2,57963,1932.1,381.46666666666664,3816.0,51205.36666666667,54839,1536161,5.062667693295083,1820.9383167704495
CNF -> GYN,2024,3,2024-03-01,28,E2,1,54676,1952.7142857142858,388.45714285714286,3795.0,53703.25,55083,1503691,5.027341989689611,1854.7618769422968
CNF -> GYN,2024,4,2024-04-01,39,E2,4,85131,2182.846153846154,410.7846153846154,4067.6923076923076,51766.794871794875,69883,2018905,5.289920890336152,1935.7232794836157
CNF -> GYN,2024,5,2024-05-01,42,E2,4,86953,2070.309523809524,391.04285714285714,3964.285714285714,51465.26190476191,66636,2161541,5.294031957059541,1899.1659925239787
CNF -> GYN,2024,6,2024-06-01,44,E2,2,91056,2069.4545454545455,391.16818181818184,3916.3636363636365,52728.02272727273,55822,2320033,5.289896844419978,1904.434982529521
CNF -> GYN,2024,7,2024-07-01,46,E2,3,96394,2095.521739130435,389.51304347826084,4021.304347826087,53120.434782608696,67929,2443540,5.380835128277335,1880.3420446261684
CNF -> GYN,2024,8,2024-08-01,51,E2,3,103379,2027.0392156862745,391.91960784313727,3942.3529411764707,51899.1568627451,61977,2646857,5.1713128583572034,1853.468398161587
CNF -> GYN,2024,9,2024-09-01,66,E2,4,140562,2129.7272727272725,393.7924242424242,3940.909090909091,50032.77272727273,65463,3302163,5.405600729976729,1959.2016324846484
CNF -> GYN,2024,10,2024-10-01,80,E2,4,164784,2059.8,387.71999999999997,4024.5,46935.575,59142,3754846,5.323828062341411,1898.102429411716
CNF -> GYN,2024,11,2024-11-01,68,E1,3,152998,2249.970588235294,384.2044117647059,3840.0,49869.367647058825,67975,3391117,5.860987146731173,2108.5599829883404
CNF -> GYN,2024,12,2024-12-01,65,E1,3,139595,2147.6153846153848,376.54615384615386,3797.5384615384614,48910.13846153846,63918,3179159,5.701936118141084,2032.675554201675
